Community,Full Name,Country,Long,Lat,ECO_ID_U,ECO_CODE,ECO_NAME,ECO_NUM,ECODE_NAME,CLS_CODE,ECO_NOTES,WWF_REALM,WWF_REALM2,WWF_MHTNUM,WWF_MHTNAM,RealmMHT,ER_UPDATE,ER_DATE_U,ER_RATION,SOURCEDATA
Parc National du Diawling,Parc National du Diawling,Mauritania,-16.41,16.34,10130,AT0713,Sahelian Acacia Savanna,13,AT0713. Sahelian Acacia savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Parc W Niger ,Parc W Niger National Park,Niger,2.41,12.31,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Quiçãma ,Quiçãma National Park,Angola,13.62,-9.75,10156,AT1002,Angolan Scarp Savanna And Woodlands,2,AT1002. Angolan scarp savanna and woodlands,0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Reserve de faune de Gadabedji,Reserve de faune de Gadabedji,Niger,7.15,15.14,10130,AT0713,Sahelian Acacia Savanna,13,AT0713. Sahelian Acacia savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Rio Pongo ,Rio Pongo Wetland of International Importance,Guinea,-14.15,10.13,10124,AT0707,Guinean Forest-Savanna Mosaic,7,AT0707. Guinean forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Ruaha ,Ruaha National Park,Tanzania,34.57,-7.65,10133,AT0716,Southern Acacia-Commiphora Bushlands And Thickets,16,AT0716. Southern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Rusizi ,Rusizi National Park,Burundi,29.26,-3.26,10085,AT0101,Albertine Rift Montane Forests,1,AT0101. Albertine Rift montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Ruvubu ,Ruvubu National Park,Burundi,30.37,-3.13,10121,AT0704,Central Zambezian Miombo Woodlands,4,AT0704. Central Zambezian Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Rwenzori Mountains ,Rwenzori Mountains National Park,Uganda,29.98,0.39,10167,AT1013,Ruwenzori-Virunga Montane Moorlands,13,AT1013. Ruwenzori-Virunga montane moorlands,0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Sahel ,Sahel Faunal Reserve,Burkina Faso,-0.58,14.5,10130,AT0713,Sahelian Acacia Savanna,13,AT0713. Sahelian Acacia savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Salonga ,Salonga National Park,Democratic Republic of the Congo,20.94,-2.49,10088,AT0104,Central Congolian Lowland Forests,4,AT0104. Central Congolian lowland forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Samburu ,Samburu National Reserve,Kenya,37.54,0.61,10128,AT0711,Northern Acacia-Commiphora Bushlands And Thickets,11,AT0711. Northern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Selous ,Selous Game Reserve,Tanzania,37.46,-8.84,10123,AT0706,Eastern Miombo Woodlands,6,AT0706. Eastern Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Serengeti ,Serengeti National Park,Tanzania,34.78,-2.33,10133,AT0716,Southern Acacia-Commiphora Bushlands And Thickets,16,AT0716. Southern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Shimba Hills ,Shimba Hills National Reserve,Kenya,39.4,-4.26,10109,AT0125,Northern Zanzibar-Inhambane Coastal Forest Mosaic,25,AT0125. Northern Zanzibar-Inhambane coastal forest mosaic,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Simien Mountains ,Simien Mountains National Park,Ethiopia,38.18,13.16,10162,AT1008,Ethiopian Montane Moorlands,8,AT1008. Ethiopian montane moorlands,0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Singou ,Singou Faunal Reserve,Burkina Faso,0.96,11.68,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Siniaka Minia ,Siniaka Minia Faunal Reserve,Chad,18.2,10.44,10122,AT0705,East Sudanian Savanna,5,AT0705. East Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Skeleton Coast ,Skeleton Coast National Park,Namibia,12.8,-19.27,10181,AT1310,Kaokoveld Desert,10,AT1310. Kaokoveld desert,0,,AT,Afrotropic,13,Deserts and Xeric Shrublands,AT13,,,,"Olson, 2001"
Tai Forest,Tai Forest,Ivory Coast,-7.12,5.72,10114,AT0130,Western Guinean Lowland Forests,30,AT0130. Western Guinean lowland forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
